Country,Region,Subregion,Indicator,Dimension,Category,Year
Mexico,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Kidnapping,2003
Mongolia,Asia,Eastern Asia,Violent offences,by type of offence,Kidnapping,2003
Peru,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Kidnapping,2003
Philippines,Asia,South-eastern Asia,Violent offences,by type of offence,Kidnapping,2003
Poland,Europe,Eastern Europe,Violent offences,by type of offence,Kidnapping,2003
State of Palestine,Asia,Western Asia,Violent offences,by type of offence,Kidnapping,2003
Qatar,Asia,Western Asia,Violent offences,by type of offence,Kidnapping,2003
Romania,Europe,Eastern Europe,Violent offences,by type of offence,Kidnapping,2003
Singapore,Asia,South-eastern Asia,Violent offences,by type of offence,Kidnapping,2003
Slovenia,Europe,Southern Europe,Violent offences,by type of offence,Kidnapping,2003
Eswatini,Africa,Sub-Saharan Africa,Violent offences,by type of offence,Kidnapping,2003
Syrian Arab Republic,Asia,Western Asia,Violent offences,by type of offence,Kidnapping,2003
Turkmenistan,Asia,Central Asia,Violent offences,by type of offence,Kidnapping,2003
Türkiye,Asia,Western Asia,Violent offences,by type of offence,Kidnapping,2003
Ukraine,Europe,Eastern Europe,Violent offences,by type of offence,Kidnapping,2003
Uruguay,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Kidnapping,2003
Zimbabwe,Africa,Sub-Saharan Africa,Violent offences,by type of offence,Kidnapping,2003
United Arab Emirates,Asia,Western Asia,Violent offences,by type of offence,Kidnapping,2004
Armenia,Asia,Western Asia,Violent offences,by type of offence,Kidnapping,2004
Austria,Europe,Western Europe,Violent offences,by type of offence,Kidnapping,2004
Azerbaijan,Asia,Western Asia,Violent offences,by type of offence,Kidnapping,2004
Belgium,Europe,Western Europe,Violent offences,by type of offence,Kidnapping,2004
Bulgaria,Europe,Eastern Europe,Violent offences,by type of offence,Kidnapping,2004
Bahrain,Asia,Western Asia,Violent offences,by type of offence,Kidnapping,2004
Belarus,Europe,Eastern Europe,Violent offences,by type of offence,Kidnapping,2004
Bermuda,Americas,Northern America,Violent offences,by type of offence,Kidnapping,2004
Barbados,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Kidnapping,2004
Brunei Darussalam,Asia,South-eastern Asia,Violent offences,by type of offence,Kidnapping,2004
Canada,Americas,Northern America,Violent offences,by type of offence,Kidnapping,2004
Switzerland,Europe,Western Europe,Violent offences,by type of offence,Kidnapping,2004
Chile,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Kidnapping,2004
Colombia,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Kidnapping,2004
Costa Rica,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Kidnapping,2004
Cyprus,Asia,Western Asia,Violent offences,by type of offence,Kidnapping,2004
Czechia,Europe,Eastern Europe,Violent offences,by type of offence,Kidnapping,2004
Germany,Europe,Western Europe,Violent offences,by type of offence,Kidnapping,2004
Algeria,Africa,Northern Africa,Violent offences,by type of offence,Kidnapping,2004
Egypt,Africa,Northern Africa,Violent offences,by type of offence,Kidnapping,2004
Estonia,Europe,Northern Europe,Violent offences,by type of offence,Kidnapping,2004
Finland,Europe,Northern Europe,Violent offences,by type of offence,Kidnapping,2004
France,Europe,Western Europe,Violent offences,by type of offence,Kidnapping,2004
United Kingdom (England and Wales),Europe,Northern Europe,Violent offences,by type of offence,Kidnapping,2004
United Kingdom (Northern Ireland),Europe,Northern Europe,Violent offences,by type of offence,Kidnapping,2004
United Kingdom (Scotland),Europe,Northern Europe,Violent offences,by type of offence,Kidnapping,2004
Guinea,Africa,Sub-Saharan Africa,Violent offences,by type of offence,Kidnapping,2004
Greece,Europe,Southern Europe,Violent offences,by type of offence,Kidnapping,2004
Guatemala,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Kidnapping,2004
"China, Hong Kong Special Administrative Region",Asia,Eastern Asia,Violent offences,by type of offence,Kidnapping,2004
Croatia,Europe,Southern Europe,Violent offences,by type of offence,Kidnapping,2004
Hungary,Europe,Eastern Europe,Violent offences,by type of offence,Kidnapping,2004
India,Asia,Southern Asia,Violent offences,by type of offence,Kidnapping,2004
Ireland,Europe,Northern Europe,Violent offences,by type of offence,Kidnapping,2004
Israel,Asia,Western Asia,Violent offences,by type of offence,Kidnapping,2004
Italy,Europe,Southern Europe,Violent offences,by type of offence,Kidnapping,2004
Japan,Asia,Eastern Asia,Violent offences,by type of offence,Kidnapping,2004
Kenya,Africa,Sub-Saharan Africa,Violent offences,by type of offence,Kidnapping,2004
Kyrgyzstan,Asia,Central Asia,Violent offences,by type of offence,Kidnapping,2004
Kuwait,Asia,Western Asia,Violent offences,by type of offence,Kidnapping,2004
Sri Lanka,Asia,Southern Asia,Violent offences,by type of offence,Kidnapping,2004
Lithuania,Europe,Northern Europe,Violent offences,by type of offence,Kidnapping,2004
Latvia,Europe,Northern Europe,Violent offences,by type of offence,Kidnapping,2004
Morocco,Africa,Northern Africa,Violent offences,by type of offence,Kidnapping,2004
Maldives,Asia,Southern Asia,Violent offences,by type of offence,Kidnapping,2004
Mexico,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Kidnapping,2004
Mongolia,Asia,Eastern Asia,Violent offences,by type of offence,Kidnapping,2004
Panama,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Kidnapping,2004
Peru,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Kidnapping,2004
Philippines,Asia,South-eastern Asia,Violent offences,by type of offence,Kidnapping,2004
Poland,Europe,Eastern Europe,Violent offences,by type of offence,Kidnapping,2004
Portugal,Europe,Southern Europe,Violent offences,by type of offence,Kidnapping,2004
State of Palestine,Asia,Western Asia,Violent offences,by type of offence,Kidnapping,2004
Qatar,Asia,Western Asia,Violent offences,by type of offence,Kidnapping,2004
Romania,Europe,Eastern Europe,Violent offences,by type of offence,Kidnapping,2004
Russian Federation,Europe,Eastern Europe,Violent offences,by type of offence,Kidnapping,2004
Singapore,Asia,South-eastern Asia,Violent offences,by type of offence,Kidnapping,2004
Slovenia,Europe,Southern Europe,Violent offences,by type of offence,Kidnapping,2004
Eswatini,Africa,Sub-Saharan Africa,Violent offences,by type of offence,Kidnapping,2004
Syrian Arab Republic,Asia,Western Asia,Violent offences,by type of offence,Kidnapping,2004
Turkmenistan,Asia,Central Asia,Violent offences,by type of offence,Kidnapping,2004
Trinidad and Tobago,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Kidnapping,2004
Türkiye,Asia,Western Asia,Violent offences,by type of offence,Kidnapping,2004
Ukraine,Europe,Eastern Europe,Violent offences,by type of offence,Kidnapping,2004
Saint Vincent and the Grenadines,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Kidnapping,2004
Zimbabwe,Africa,Sub-Saharan Africa,Violent offences,by type of offence,Kidnapping,2004
United Arab Emirates,Asia,Western Asia,Violent offences,by type of offence,Kidnapping,2005
Armenia,Asia,Western Asia,Violent offences,by type of offence,Kidnapping,2005
Austria,Europe,Western Europe,Violent offences,by type of offence,Kidnapping,2005
Azerbaijan,Asia,Western Asia,Violent offences,by type of offence,Kidnapping,2005
Belgium,Europe,Western Europe,Violent offences,by type of offence,Kidnapping,2005
Bangladesh,Asia,Southern Asia,Violent offences,by type of offence,Kidnapping,2005
Bulgaria,Europe,Eastern Europe,Violent offences,by type of offence,Kidnapping,2005
Bahrain,Asia,Western Asia,Violent offences,by type of offence,Kidnapping,2005
Bahamas,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Kidnapping,2005
Bosnia and Herzegovina,Europe,Southern Europe,Violent offences,by type of offence,Kidnapping,2005
Belarus,Europe,Eastern Europe,Violent offences,by type of offence,Kidnapping,2005
Belize,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Kidnapping,2005
Bolivia (Plurinational State of),Americas,Latin America and the Caribbean,Violent offences,by type of offence,Kidnapping,2005
Barbados,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Kidnapping,2005
Brunei Darussalam,Asia,South-eastern Asia,Violent offences,by type of offence,Kidnapping,2005
Canada,Americas,Northern America,Violent offences,by type of offence,Kidnapping,2005
Switzerland,Europe,Western Europe,Violent offences,by type of offence,Kidnapping,2005
Chile,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Kidnapping,2005
Colombia,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Kidnapping,2005
Costa Rica,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Kidnapping,2005
Cyprus,Asia,Western Asia,Violent offences,by type of offence,Kidnapping,2005
Czechia,Europe,Eastern Europe,Violent offences,by type of offence,Kidnapping,2005
Germany,Europe,Western Europe,Violent offences,by type of offence,Kidnapping,2005
Dominican Republic,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Kidnapping,2005
Algeria,Africa,Northern Africa,Violent offences,by type of offence,Kidnapping,2005
Egypt,Africa,Northern Africa,Violent offences,by type of offence,Kidnapping,2005
Spain,Europe,Southern Europe,Violent offences,by type of offence,Kidnapping,2005
Estonia,Europe,Northern Europe,Violent offences,by type of offence,Kidnapping,2005
Finland,Europe,Northern Europe,Violent offences,by type of offence,Kidnapping,2005
France,Europe,Western Europe,Violent offences,by type of offence,Kidnapping,2005
United Kingdom (England and Wales),Europe,Northern Europe,Violent offences,by type of offence,Kidnapping,2005
United Kingdom (Northern Ireland),Europe,Northern Europe,Violent offences,by type of offence,Kidnapping,2005
United Kingdom (Scotland),Europe,Northern Europe,Violent offences,by type of offence,Kidnapping,2005
Georgia,Asia,Western Asia,Violent offences,by type of offence,Kidnapping,2005
Guinea,Africa,Sub-Saharan Africa,Violent offences,by type of offence,Kidnapping,2005
Greece,Europe,Southern Europe,Violent offences,by type of offence,Kidnapping,2005
Grenada,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Kidnapping,2005
Guatemala,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Kidnapping,2005
"China, Hong Kong Special Administrative Region",Asia,Eastern Asia,Violent offences,by type of offence,Kidnapping,2005
Croatia,Europe,Southern Europe,Violent offences,by type of offence,Kidnapping,2005
Hungary,Europe,Eastern Europe,Violent offences,by type of offence,Kidnapping,2005
India,Asia,Southern Asia,Violent offences,by type of offence,Kidnapping,2005
Ireland,Europe,Northern Europe,Violent offences,by type of offence,Kidnapping,2005
Israel,Asia,Western Asia,Violent offences,by type of offence,Kidnapping,2005
Italy,Europe,Southern Europe,Violent offences,by type of offence,Kidnapping,2005
Jamaica,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Kidnapping,2005
Jordan,Asia,Western Asia,Violent offences,by type of offence,Kidnapping,2005
Japan,Asia,Eastern Asia,Violent offences,by type of offence,Kidnapping,2005
Kazakhstan,Asia,Central Asia,Violent offences,by type of offence,Kidnapping,2005
Kenya,Africa,Sub-Saharan Africa,Violent offences,by type of offence,Kidnapping,2005
Kyrgyzstan,Asia,Central Asia,Violent offences,by type of offence,Kidnapping,2005
Kuwait,Asia,Western Asia,Violent offences,by type of offence,Kidnapping,2005
Liechtenstein,Europe,Western Europe,Violent offences,by type of offence,Kidnapping,2005
Lithuania,Europe,Northern Europe,Violent offences,by type of offence,Kidnapping,2005
Latvia,Europe,Northern Europe,Violent offences,by type of offence,Kidnapping,2005
Morocco,Africa,Northern Africa,Violent offences,by type of offence,Kidnapping,2005
Monaco,Europe,Western Europe,Violent offences,by type of offence,Kidnapping,2005
Republic of Moldova,Europe,Eastern Europe,Violent offences,by type of offence,Kidnapping,2005
Mexico,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Kidnapping,2005
North Macedonia,Europe,Southern Europe,Violent offences,by type of offence,Kidnapping,2005
Mongolia,Asia,Eastern Asia,Violent offences,by type of offence,Kidnapping,2005
Nicaragua,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Kidnapping,2005
Netherlands (Kingdom of the),Europe,Western Europe,Violent offences,by type of offence,Kidnapping,2005
Nepal,Asia,Southern Asia,Violent offences,by type of offence,Kidnapping,2005
New Zealand,Oceania,Australia and New Zealand,Violent offences,by type of offence,Kidnapping,2005
Panama,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Kidnapping,2005
Peru,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Kidnapping,2005
Philippines,Asia,South-eastern Asia,Violent offences,by type of offence,Kidnapping,2005
Poland,Europe,Eastern Europe,Violent offences,by type of offence,Kidnapping,2005
Portugal,Europe,Southern Europe,Violent offences,by type of offence,Kidnapping,2005
Paraguay,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Kidnapping,2005
State of Palestine,Asia,Western Asia,Violent offences,by type of offence,Kidnapping,2005
Romania,Europe,Eastern Europe,Violent offences,by type of offence,Kidnapping,2005
Russian Federation,Europe,Eastern Europe,Violent offences,by type of offence,Kidnapping,2005
Singapore,Asia,South-eastern Asia,Violent offences,by type of offence,Kidnapping,2005
El Salvador,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Kidnapping,2005
Serbia,Europe,Southern Europe,Violent offences,by type of offence,Kidnapping,2005
Slovakia,Europe,Eastern Europe,Violent offences,by type of offence,Kidnapping,2005
Slovenia,Europe,Southern Europe,Violent offences,by type of offence,Kidnapping,2005
Syrian Arab Republic,Asia,Western Asia,Violent offences,by type of offence,Kidnapping,2005
Thailand,Asia,South-eastern Asia,Violent offences,by type of offence,Kidnapping,2005
Trinidad and Tobago,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Kidnapping,2005
Türkiye,Asia,Western Asia,Violent offences,by type of offence,Kidnapping,2005
Ukraine,Europe,Eastern Europe,Violent offences,by type of offence,Kidnapping,2005
Saint Vincent and the Grenadines,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Kidnapping,2005
Yemen,Asia,Western Asia,Violent offences,by type of offence,Kidnapping,2005
Zimbabwe,Africa,Sub-Saharan Africa,Violent offences,by type of offence,Kidnapping,2005
Albania,Europe,Southern Europe,Violent offences,by type of offence,Kidnapping,2006
United Arab Emirates,Asia,Western Asia,Violent offences,by type of offence,Kidnapping,2006
Armenia,Asia,Western Asia,Violent offences,by type of offence,Kidnapping,2006
Austria,Europe,Western Europe,Violent offences,by type of offence,Kidnapping,2006
Azerbaijan,Asia,Western Asia,Violent offences,by type of offence,Kidnapping,2006
Belgium,Europe,Western Europe,Violent offences,by type of offence,Kidnapping,2006
Bangladesh,Asia,Southern Asia,Violent offences,by type of offence,Kidnapping,2006
Bulgaria,Europe,Eastern Europe,Violent offences,by type of offence,Kidnapping,2006
Bahrain,Asia,Western Asia,Violent offences,by type of offence,Kidnapping,2006
Bahamas,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Kidnapping,2006
Bosnia and Herzegovina,Europe,Southern Europe,Violent offences,by type of offence,Kidnapping,2006
Belarus,Europe,Eastern Europe,Violent offences,by type of offence,Kidnapping,2006
Belize,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Kidnapping,2006
Bolivia (Plurinational State of),Americas,Latin America and the Caribbean,Violent offences,by type of offence,Kidnapping,2006
Brazil,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Kidnapping,2006
Barbados,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Kidnapping,2006
Brunei Darussalam,Asia,South-eastern Asia,Violent offences,by type of offence,Kidnapping,2006
Canada,Americas,Northern America,Violent offences,by type of offence,Kidnapping,2006
Switzerland,Europe,Western Europe,Violent offences,by type of offence,Kidnapping,2006
Chile,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Kidnapping,2006
Colombia,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Kidnapping,2006
Costa Rica,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Kidnapping,2006
Cyprus,Asia,Western Asia,Violent offences,by type of offence,Kidnapping,2006
Czechia,Europe,Eastern Europe,Violent offences,by type of offence,Kidnapping,2006
Germany,Europe,Western Europe,Violent offences,by type of offence,Kidnapping,2006
Dominican Republic,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Kidnapping,2006
Algeria,Africa,Northern Africa,Violent offences,by type of offence,Kidnapping,2006
Egypt,Africa,Northern Africa,Violent offences,by type of offence,Kidnapping,2006
Spain,Europe,Southern Europe,Violent offences,by type of offence,Kidnapping,2006
Estonia,Europe,Northern Europe,Violent offences,by type of offence,Kidnapping,2006
Finland,Europe,Northern Europe,Violent offences,by type of offence,Kidnapping,2006
France,Europe,Western Europe,Violent offences,by type of offence,Kidnapping,2006
United Kingdom (England and Wales),Europe,Northern Europe,Violent offences,by type of offence,Kidnapping,2006
United Kingdom (Northern Ireland),Europe,Northern Europe,Violent offences,by type of offence,Kidnapping,2006
United Kingdom (Scotland),Europe,Northern Europe,Violent offences,by type of offence,Kidnapping,2006
Georgia,Asia,Western Asia,Violent offences,by type of offence,Kidnapping,2006
Guinea,Africa,Sub-Saharan Africa,Violent offences,by type of offence,Kidnapping,2006
Greece,Europe,Southern Europe,Violent offences,by type of offence,Kidnapping,2006
Grenada,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Kidnapping,2006
Guatemala,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Kidnapping,2006
Guyana,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Kidnapping,2006
"China, Hong Kong Special Administrative Region",Asia,Eastern Asia,Violent offences,by type of offence,Kidnapping,2006
Croatia,Europe,Southern Europe,Violent offences,by type of offence,Kidnapping,2006
Hungary,Europe,Eastern Europe,Violent offences,by type of offence,Kidnapping,2006
India,Asia,Southern Asia,Violent offences,by type of offence,Kidnapping,2006
Ireland,Europe,Northern Europe,Violent offences,by type of offence,Kidnapping,2006
Israel,Asia,Western Asia,Violent offences,by type of offence,Kidnapping,2006
Italy,Europe,Southern Europe,Violent offences,by type of offence,Kidnapping,2006
Jamaica,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Kidnapping,2006
Jordan,Asia,Western Asia,Violent offences,by type of offence,Kidnapping,2006
Japan,Asia,Eastern Asia,Violent offences,by type of offence,Kidnapping,2006
Kazakhstan,Asia,Central Asia,Violent offences,by type of offence,Kidnapping,2006
Kenya,Africa,Sub-Saharan Africa,Violent offences,by type of offence,Kidnapping,2006
Kyrgyzstan,Asia,Central Asia,Violent offences,by type of offence,Kidnapping,2006
Republic of Korea,Asia,Eastern Asia,Violent offences,by type of offence,Kidnapping,2006
Kuwait,Asia,Western Asia,Violent offences,by type of offence,Kidnapping,2006
Liechtenstein,Europe,Western Europe,Violent offences,by type of offence,Kidnapping,2006
Lithuania,Europe,Northern Europe,Violent offences,by type of offence,Kidnapping,2006
Luxembourg,Europe,Western Europe,Violent offences,by type of offence,Kidnapping,2006
Latvia,Europe,Northern Europe,Violent offences,by type of offence,Kidnapping,2006
Morocco,Africa,Northern Africa,Violent offences,by type of offence,Kidnapping,2006
Monaco,Europe,Western Europe,Violent offences,by type of offence,Kidnapping,2006
Republic of Moldova,Europe,Eastern Europe,Violent offences,by type of offence,Kidnapping,2006
Mexico,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Kidnapping,2006
North Macedonia,Europe,Southern Europe,Violent offences,by type of offence,Kidnapping,2006
Montenegro,Europe,Southern Europe,Violent offences,by type of offence,Kidnapping,2006
Mongolia,Asia,Eastern Asia,Violent offences,by type of offence,Kidnapping,2006
Nicaragua,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Kidnapping,2006
Netherlands (Kingdom of the),Europe,Western Europe,Violent offences,by type of offence,Kidnapping,2006
Nepal,Asia,Southern Asia,Violent offences,by type of offence,Kidnapping,2006
New Zealand,Oceania,Australia and New Zealand,Violent offences,by type of offence,Kidnapping,2006
Panama,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Kidnapping,2006
Peru,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Kidnapping,2006
Philippines,Asia,South-eastern Asia,Violent offences,by type of offence,Kidnapping,2006
Poland,Europe,Eastern Europe,Violent offences,by type of offence,Kidnapping,2006
Portugal,Europe,Southern Europe,Violent offences,by type of offence,Kidnapping,2006
Paraguay,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Kidnapping,2006
Romania,Europe,Eastern Europe,Violent offences,by type of offence,Kidnapping,2006
Russian Federation,Europe,Eastern Europe,Violent offences,by type of offence,Kidnapping,2006
Singapore,Asia,South-eastern Asia,Violent offences,by type of offence,Kidnapping,2006
El Salvador,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Kidnapping,2006
Serbia,Europe,Southern Europe,Violent offences,by type of offence,Kidnapping,2006
Slovakia,Europe,Eastern Europe,Violent offences,by type of offence,Kidnapping,2006
Slovenia,Europe,Southern Europe,Violent offences,by type of offence,Kidnapping,2006
Syrian Arab Republic,Asia,Western Asia,Violent offences,by type of offence,Kidnapping,2006
Thailand,Asia,South-eastern Asia,Violent offences,by type of offence,Kidnapping,2006
Tajikistan,Asia,Central Asia,Violent offences,by type of offence,Kidnapping,2006
Trinidad and Tobago,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Kidnapping,2006
Türkiye,Asia,Western Asia,Violent offences,by type of offence,Kidnapping,2006
Ukraine,Europe,Eastern Europe,Violent offences,by type of offence,Kidnapping,2006
Saint Vincent and the Grenadines,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Kidnapping,2006
Yemen,Asia,Western Asia,Violent offences,by type of offence,Kidnapping,2006
Zimbabwe,Africa,Sub-Saharan Africa,Violent offences,by type of offence,Kidnapping,2006
Albania,Europe,Southern Europe,Violent offences,by type of offence,Kidnapping,2007
Andorra,Europe,Southern Europe,Violent offences,by type of offence,Kidnapping,2007
Armenia,Asia,Western Asia,Violent offences,by type of offence,Kidnapping,2007
Austria,Europe,Western Europe,Violent offences,by type of offence,Kidnapping,2007
Azerbaijan,Asia,Western Asia,Violent offences,by type of offence,Kidnapping,2007
Belgium,Europe,Western Europe,Violent offences,by type of offence,Kidnapping,2007
Bulgaria,Europe,Eastern Europe,Violent offences,by type of offence,Kidnapping,2007
Bahrain,Asia,Western Asia,Violent offences,by type of offence,Kidnapping,2007
Bahamas,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Kidnapping,2007
Bosnia and Herzegovina,Europe,Southern Europe,Violent offences,by type of offence,Kidnapping,2007
Belarus,Europe,Eastern Europe,Violent offences,by type of offence,Kidnapping,2007
Bolivia (Plurinational State of),Americas,Latin America and the Caribbean,Violent offences,by type of offence,Kidnapping,2007
Brazil,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Kidnapping,2007
Barbados,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Kidnapping,2007
Canada,Americas,Northern America,Violent offences,by type of offence,Kidnapping,2007
Switzerland,Europe,Western Europe,Violent offences,by type of offence,Kidnapping,2007
Chile,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Kidnapping,2007
Colombia,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Kidnapping,2007
Costa Rica,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Kidnapping,2007
Cyprus,Asia,Western Asia,Violent offences,by type of offence,Kidnapping,2007
Czechia,Europe,Eastern Europe,Violent offences,by type of offence,Kidnapping,2007
Germany,Europe,Western Europe,Violent offences,by type of offence,Kidnapping,2007
Algeria,Africa,Northern Africa,Violent offences,by type of offence,Kidnapping,2007
Egypt,Africa,Northern Africa,Violent offences,by type of offence,Kidnapping,2007
Spain,Europe,Southern Europe,Violent offences,by type of offence,Kidnapping,2007
Estonia,Europe,Northern Europe,Violent offences,by type of offence,Kidnapping,2007
Finland,Europe,Northern Europe,Violent offences,by type of offence,Kidnapping,2007
France,Europe,Western Europe,Violent offences,by type of offence,Kidnapping,2007
United Kingdom (England and Wales),Europe,Northern Europe,Violent offences,by type of offence,Kidnapping,2007
United Kingdom (Northern Ireland),Europe,Northern Europe,Violent offences,by type of offence,Kidnapping,2007
United Kingdom (Scotland),Europe,Northern Europe,Violent offences,by type of offence,Kidnapping,2007
Georgia,Asia,Western Asia,Violent offences,by type of offence,Kidnapping,2007
Guinea,Africa,Sub-Saharan Africa,Violent offences,by type of offence,Kidnapping,2007
Greece,Europe,Southern Europe,Violent offences,by type of offence,Kidnapping,2007
Grenada,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Kidnapping,2007
Guatemala,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Kidnapping,2007
"China, Hong Kong Special Administrative Region",Asia,Eastern Asia,Violent offences,by type of offence,Kidnapping,2007
Croatia,Europe,Southern Europe,Violent offences,by type of offence,Kidnapping,2007
Hungary,Europe,Eastern Europe,Violent offences,by type of offence,Kidnapping,2007
India,Asia,Southern Asia,Violent offences,by type of offence,Kidnapping,2007
Ireland,Europe,Northern Europe,Violent offences,by type of offence,Kidnapping,2007
Israel,Asia,Western Asia,Violent offences,by type of offence,Kidnapping,2007
Italy,Europe,Southern Europe,Violent offences,by type of offence,Kidnapping,2007
Jamaica,Americas,Latin America and the Caribbean,Violent offences,by type of offence,Kidnapping,2007
Japan,Asia,Eastern Asia,Violent offences,by type of offence,Kidnapping,2007
Kazakhstan,Asia,Central Asia,Violent offences,by type of offence,Kidnapping,2007
Kenya,Africa,Sub-Saharan Africa,Violent offences,by type of offence,Kidnapping,2007
