Country,Region,Subregion,Indicator,Dimension,Category,Year,Group
Paraguay,Americas,Latin America and the Caribbean,Criminal Justice Personnel,by type of personnel,Police personel - responsible for administration,2019,Police
El Salvador,Americas,Latin America and the Caribbean,Criminal Justice Personnel,by type of personnel,Police personel - responsible for administration,2019,Police
Slovenia,Europe,Southern Europe,Criminal Justice Personnel,by type of personnel,Police personel - responsible for administration,2019,Police
Albania,Europe,Southern Europe,Criminal Justice Personnel,by type of personnel,Police personel - responsible for administration,2020,Police
Belgium,Europe,Western Europe,Criminal Justice Personnel,by type of personnel,Police personel - responsible for administration,2020,Police
Colombia,Americas,Latin America and the Caribbean,Criminal Justice Personnel,by type of personnel,Police personel - responsible for administration,2020,Police
Dominica,Americas,Latin America and the Caribbean,Criminal Justice Personnel,by type of personnel,Police personel - responsible for administration,2020,Police
Ecuador,Americas,Latin America and the Caribbean,Criminal Justice Personnel,by type of personnel,Police personel - responsible for administration,2020,Police
Spain,Europe,Southern Europe,Criminal Justice Personnel,by type of personnel,Police personel - responsible for administration,2020,Police
Estonia,Europe,Northern Europe,Criminal Justice Personnel,by type of personnel,Police personel - responsible for administration,2020,Police
Hungary,Europe,Eastern Europe,Criminal Justice Personnel,by type of personnel,Police personel - responsible for administration,2020,Police
Ireland,Europe,Northern Europe,Criminal Justice Personnel,by type of personnel,Police personel - responsible for administration,2020,Police
Liechtenstein,Europe,Western Europe,Criminal Justice Personnel,by type of personnel,Police personel - responsible for administration,2020,Police
Latvia,Europe,Northern Europe,Criminal Justice Personnel,by type of personnel,Police personel - responsible for administration,2020,Police
Mexico,Americas,Latin America and the Caribbean,Criminal Justice Personnel,by type of personnel,Police personel - responsible for administration,2020,Police
Montenegro,Europe,Southern Europe,Criminal Justice Personnel,by type of personnel,Police personel - responsible for administration,2020,Police
Netherlands (Kingdom of the),Europe,Western Europe,Criminal Justice Personnel,by type of personnel,Police personel - responsible for administration,2020,Police
Poland,Europe,Eastern Europe,Criminal Justice Personnel,by type of personnel,Police personel - responsible for administration,2020,Police
El Salvador,Americas,Latin America and the Caribbean,Criminal Justice Personnel,by type of personnel,Police personel - responsible for administration,2020,Police
Slovenia,Europe,Southern Europe,Criminal Justice Personnel,by type of personnel,Police personel - responsible for administration,2020,Police
Albania,Europe,Southern Europe,Criminal Justice Personnel,by type of personnel,Police personel - responsible for administration,2021,Police
Belgium,Europe,Western Europe,Criminal Justice Personnel,by type of personnel,Police personel - responsible for administration,2021,Police
Bosnia and Herzegovina,Europe,Southern Europe,Criminal Justice Personnel,by type of personnel,Police personel - responsible for administration,2021,Police
Colombia,Americas,Latin America and the Caribbean,Criminal Justice Personnel,by type of personnel,Police personel - responsible for administration,2021,Police
Dominica,Americas,Latin America and the Caribbean,Criminal Justice Personnel,by type of personnel,Police personel - responsible for administration,2021,Police
Ecuador,Americas,Latin America and the Caribbean,Criminal Justice Personnel,by type of personnel,Police personel - responsible for administration,2021,Police
Spain,Europe,Southern Europe,Criminal Justice Personnel,by type of personnel,Police personel - responsible for administration,2021,Police
Estonia,Europe,Northern Europe,Criminal Justice Personnel,by type of personnel,Police personel - responsible for administration,2021,Police
Honduras,Americas,Latin America and the Caribbean,Criminal Justice Personnel,by type of personnel,Police personel - responsible for administration,2021,Police
Hungary,Europe,Eastern Europe,Criminal Justice Personnel,by type of personnel,Police personel - responsible for administration,2021,Police
Ireland,Europe,Northern Europe,Criminal Justice Personnel,by type of personnel,Police personel - responsible for administration,2021,Police
Liechtenstein,Europe,Western Europe,Criminal Justice Personnel,by type of personnel,Police personel - responsible for administration,2021,Police
Latvia,Europe,Northern Europe,Criminal Justice Personnel,by type of personnel,Police personel - responsible for administration,2021,Police
Mexico,Americas,Latin America and the Caribbean,Criminal Justice Personnel,by type of personnel,Police personel - responsible for administration,2021,Police
Montenegro,Europe,Southern Europe,Criminal Justice Personnel,by type of personnel,Police personel - responsible for administration,2021,Police
Mongolia,Asia,Eastern Asia,Criminal Justice Personnel,by type of personnel,Police personel - responsible for administration,2021,Police
Netherlands (Kingdom of the),Europe,Western Europe,Criminal Justice Personnel,by type of personnel,Police personel - responsible for administration,2021,Police
Poland,Europe,Eastern Europe,Criminal Justice Personnel,by type of personnel,Police personel - responsible for administration,2021,Police
El Salvador,Americas,Latin America and the Caribbean,Criminal Justice Personnel,by type of personnel,Police personel - responsible for administration,2021,Police
Slovenia,Europe,Southern Europe,Criminal Justice Personnel,by type of personnel,Police personel - responsible for administration,2021,Police
Albania,Europe,Southern Europe,Criminal Justice Personnel,by type of personnel,Police personel - responsible for administration,2022,Police
Belgium,Europe,Western Europe,Criminal Justice Personnel,by type of personnel,Police personel - responsible for administration,2022,Police
Bosnia and Herzegovina,Europe,Southern Europe,Criminal Justice Personnel,by type of personnel,Police personel - responsible for administration,2022,Police
Ecuador,Americas,Latin America and the Caribbean,Criminal Justice Personnel,by type of personnel,Police personel - responsible for administration,2022,Police
Spain,Europe,Southern Europe,Criminal Justice Personnel,by type of personnel,Police personel - responsible for administration,2022,Police
Estonia,Europe,Northern Europe,Criminal Justice Personnel,by type of personnel,Police personel - responsible for administration,2022,Police
Hungary,Europe,Eastern Europe,Criminal Justice Personnel,by type of personnel,Police personel - responsible for administration,2022,Police
Ireland,Europe,Northern Europe,Criminal Justice Personnel,by type of personnel,Police personel - responsible for administration,2022,Police
Liechtenstein,Europe,Western Europe,Criminal Justice Personnel,by type of personnel,Police personel - responsible for administration,2022,Police
